"","logFC","pvalue","padj"
"PGK1",0.00230534148841729,0.799538667662848,0.838364954466865
"PRKAR1A",0.0415792488472389,5.24937019803845e-05,0.000142037938014144
"NEXN",0.105770268323744,0.00246313190445754,0.00491947416507431
"EIF4A2",0.0151036766486901,0.205495601470948,0.264803244183786
"RPL18",0.115992600937076,0.000157279007244253,0.000392430230051569
"B4GALNT3",-0.0156115141474088,0.249652288654468,0.313254295615891
"MAGED2",0.0143058398791605,0.106663350057139,0.149100044099164
"ENO3",0.0438551723245301,0.0180243792221564,0.030060607904778
"MYH10",-0.138594790653791,1.64043737486992e-26,1.10281362077596e-24
"HSPA5",-0.00618122648353674,0.586734062367895,0.650253708480802
"LAMC1",0.0187759804949444,0.271533243684621,0.336660952955112
"TECRL",-0.0395786180195288,0.000349445728234107,0.000816751108894126
"RPL27",0.154326218745621,1.12265115632635e-11,1.01819307237888e-10
"RHOA",-0.0107209190815357,0.0693784943058432,0.101268530804343
"DPYSL3",-0.157890472729804,1.72499040622244e-35,2.67825296166108e-33
"TNS1",0.0047634684041949,0.793732450649705,0.833751499788455
"SVIL",-0.0315136074445803,0.035199856243325,0.0548282007793437
"CAVIN1",0.0274653942147118,0.0189951009721505,0.031502302502389
"PTTG1IP",0.0125592548175383,0.0591895075346222,0.0874829507328358
"CCNI",0.0621100755463811,5.45985220024346e-06,1.77132816904416e-05
"CALM3",0.0520333179738897,1.23660901701029e-06,4.50750553377534e-06
"RTN4",-0.00672433519692973,0.526343203665525,0.593666700873975
"MYOZ2",0.0984459312358455,2.81547331346003e-17,6.43071855589242e-16
"SYNPO2L",-0.0302996756645997,0.0798712089835772,0.114975751386734
"RPL35A",0.166807713775646,2.5524131697148e-11,2.17714666837282e-10
"RPL31",0.180513666960031,6.14895097204533e-13,6.80769257872794e-12
"SLC4A3",0.0534308915651343,0.00029838477807647,0.000707423064110766
"MATR3",0.00732496783652714,0.641404732505674,0.699314539486624
"SNHG14",-0.0116125175462646,0.297314610047085,0.364331217160019
"OBSCN",0.0152102020904248,0.328469213296635,0.397245500724659
"NNT",0.00328880463574862,0.824036379268779,0.858598902166926
"RPL19",0.0966907940143636,3.50579459647039e-05,9.82014027645335e-05
"ADCY6",-0.0706070957347306,0.000394743551948718,0.000913295264238989
"BVES",0.0145996419023098,0.371859371710853,0.442167760100948
"HNRNPD",-0.0153776903104863,0.0185464318540471,0.0308169912397098
"GJA1",0.0987024893377839,7.91210675805786e-14,1.02983728880829e-12
"PXDN",-0.108563684824182,4.2727502618383e-23,2.15989181840679e-21
"RPL15",0.0981557762947033,5.76642295250052e-10,3.91492390143216e-09
"OBSL1",-0.0445610249622789,4.44963400470892e-05,0.000122018769321728
"FHL2",0.265284875963319,7.79010643860689e-49,5.64436489846173e-46
"RPL37",0.164952249298798,2.63821040715795e-11,2.24592298499699e-10
"CALU",-0.0473796905257593,2.8104283170397e-07,1.16731229652331e-06
"ADPRHL1",0.00703110638236382,0.574001141323071,0.638203144512829
"VCL",-0.0207102406609658,0.0188994625115495,0.0313636327873303
"ITGB1",-0.0831424348132893,0.00370847339308833,0.00716854627657577
"WDR1",-0.0145392178704931,0.0632741923368704,0.0930771505140383
"CCND2",-0.0391908051237933,4.44444529266688e-06,1.46559938070699e-05
"TSPAN9",0.0293582971687819,0.00107896638316144,0.00231179227356522
"SERPINH1",0.0267180197893038,0.00147012774745983,0.00307315372373315
"LUC7L3",0.0633210244833684,0.0262150301787764,0.0420536806385735
"MMP15",-0.00506555177626163,0.659308995212275,0.714890914163492
"MAP4K4",0.0232472877292529,0.0271623246879666,0.043397162633892
"COX4I1",0.13613388587342,1.08637263441267e-09,7.04198404473663e-09
"ERBB2",-0.0568262829758833,3.03392331092989e-10,2.16339135162098e-09
"RPL13A",0.125362526291967,6.22495770253618e-11,4.95943178720079e-10
"DENND5A",-0.0340580602141836,0.0146331840306642,0.0249439270850768
"HMGB2",0.0160658750323764,0.0714464586564492,0.103926468190655
"ATP5MC3",0.116304723692647,4.62388014622284e-14,6.24271685994185e-13
"RPS20",0.15437251160772,3.9136416790436e-14,5.34468217571588e-13
"UBA1",-0.0384387832568012,0.002299724422757,0.00461928321601675
"YWHAZ",-0.000737864993548903,0.939219968755001,0.952290043730291
"YWHAQ",-0.084601946374625,1.9293206859003e-08,1.00048510479172e-07
"GNB1",-0.0634071962998905,6.86286928088757e-15,1.06681217117206e-13
"PPP1CB",0.0883381386271965,2.83689163802289e-09,1.68789875652803e-08
"TPI1",0.0823904387549699,2.55402705721827e-06,8.77492647003179e-06
"ARGLU1",-0.0340996892465569,0.00988956416578161,0.017507763791248
"TOP2A",0.0598282964518086,0.000569187334485462,0.00128010712473864
"RPS19",0.121774082281478,7.11453823786419e-06,2.26920537290841e-05
"RBM24",0.0882912345173486,6.72352783763018e-09,3.76344420851386e-08
"BSG",0.109453849762811,2.44471232080899e-11,2.09624839500269e-10
"HNRNPM",-0.0266289475951185,0.00134616914834887,0.00283264569744529
"NONO",-0.0847344454062718,2.63819496947397e-32,3.12793989017087e-30
"RPLP2",0.153259164053422,6.94554822379789e-06,2.21856086051364e-05
"DSTN",0.0868722429936827,1.07591069501861e-16,2.24512436550924e-15
"RPS5",0.15970496426408,2.46019167553095e-09,1.4840804732782e-08
"SRL",0.0894426205529106,3.10488934942014e-10,2.20916349673417e-09
"ARF1",0.01739805582873,0.0148328976549669,0.0252447672212029
"SNTA1",0.110349614125734,3.45042845257665e-12,3.41430105299732e-11
"EIF4G1",-0.0943180098884374,1.93525348058256e-11,1.69506889817043e-10
"ADD1",-0.0548973276886603,1.85794799053027e-09,1.14895010395902e-08
"COL5A2",-0.0450423106696026,0.0031608139692502,0.00618504662970159
"HNRNPA0",-0.035697345266107,5.84441169436544e-08,2.77744594578053e-07
"RPL32",0.173187150411928,1.01827474940186e-10,7.84890028469211e-10
"CALM2",0.0946155762142404,6.12123403614845e-10,4.13428970996624e-09
"RPS23",0.137340625369437,3.76295905521974e-10,2.64563406998253e-09
"ATP1B1",-0.0258185158097225,0.0699565096013547,0.101941094773281
"SRSF3",0.00911273510571275,0.31675637644114,0.385151655933745
"IVNS1ABP",-0.0437690816158074,0.000893400469456832,0.00194066104641172
"RPL10A",0.0786900614054359,3.59263548885533e-06,1.20483131950419e-05
"SRSF5",-0.0373085160125872,0.00323557381948514,0.00631806464346836
"AP2M1",0.0327479116796344,5.63566595334765e-05,0.000151891620920769
"HSPD1",-0.0727442529174017,1.52105715358492e-09,9.56952599954392e-09
"CALD1",0.038746374130532,0.0528525821130283,0.0790032522542252
"RPS12",0.126434368615272,9.51499552790678e-09,5.17899732247331e-08
"TMBIM6",0.0245362829557265,0.00032893542926931,0.00077241193167633
"PLXNB2",-0.0701265023145441,2.76628935308456e-09,1.64890062810461e-08
"CAMK2D",0.0449252511647486,6.03759955623766e-05,0.00016205468905629
"H1F0",0.0283020521602431,0.00947835004226808,0.0168437990531762
"CTNND1",-0.0740816766390466,6.5481170615866e-11,5.19468021394236e-10
"CD81",0.0909646887575479,7.70884226098967e-07,2.91670208203735e-06
"MACF1",-0.0102682827129425,0.457361063743795,0.527447430661117
"DSP",-0.0324695812697664,0.00817434290088562,0.0147393585114545
"SF1",-0.0659941167134202,6.27447388986647e-10,4.22902782799165e-09
"MYLK3",0.0130993929242674,0.302376550214592,0.369631171421756
"TIMP3",-0.0167935356525755,0.0626196455053926,0.0922079052366863
