"","logFC","pvalue","padj","piValue","rank"
"LSM14A",-0.121551380502569,4.44636997730242e-09,2.56364090380098e-08,-7.59114280771001,-105
"ENTPD5",-0.107509060336865,4.41116733559486e-09,2.54559488454992e-08,-7.59421071042454,-104
"ID2-AS1",-0.128136732030066,3.93250787954071e-09,2.28351592898352e-08,-7.64139595456475,-103
"STIL",-0.11010281752531,3.73145096967006e-09,2.17354102485203e-08,-7.66283215823426,-102
"ZNF710",-0.164431664572628,3.50630019309706e-09,2.0524760825122e-08,-7.68772189500925,-101
"BMP6",-0.177996933565759,3.16785821617385e-09,1.86946637354477e-08,-7.72828234217881,-100
"B3GNT5",-0.123589157885897,3.0730207582484e-09,1.81596450969985e-08,-7.74089264336567,-99
"VCAM1",-0.134119930848504,2.87407519142156e-09,1.7084634752288e-08,-7.76739430142837,-98
"KHNYN",-0.131953341352447,2.4642034839739e-09,1.48581330735033e-08,-7.82803575630975,-97
"RBFOX2",-0.107993962501318,2.37100678708784e-09,1.43359622240146e-08,-7.84357315206836,-96
"SYTL4",-0.100309700589577,2.31585728797741e-09,1.40155038282141e-08,-7.85339128563967,-95
"GABBR1",-0.156573047411345,2.27741871347955e-09,1.38020886901489e-08,-7.86005518620994,-94
"TIAF1",-0.16468008991133,2.23116285860492e-09,1.35469394794811e-08,-7.86815880938768,-93
"ASAP2",-0.191990740988013,2.20765128915438e-09,1.34166766603688e-08,-7.87235504652201,-92
"BRIP1",-0.122114734752472,2.13573047646828e-09,1.30403543418068e-08,-7.88471060748442,-91
"ABHD2",-0.11485267552446,2.05725429569914e-09,1.25965777110367e-08,-7.89974742973112,-90
"MKI67",-0.112874757493847,1.98467900716978e-09,1.21865271240623e-08,-7.914120040546,-89
"ABCA7",-0.106470812085383,1.97357877942851e-09,1.2129790028891e-08,-7.91614671686494,-88
"MAPKBP1",-0.100062803249345,1.9571181954933e-09,1.20399695781243e-08,-7.91937461042615,-87
"MCM3AP",-0.137877822085548,1.69431321650513e-09,1.05526422968768e-08,-7.97663878289952,-86
"PDCD6",-0.171438402998014,1.64088471594502e-09,1.0244677881717e-08,-7.98950169235231,-85
"FMOD",-0.12913907760945,1.63053050990119e-09,1.01894484475953e-08,-7.99184932361367,-84
"XYLT1",-0.127390962453137,1.62387452529102e-09,1.01527188680947e-08,-7.99341763939703,-83
"MARS2",-0.10086724931141,1.53183903559308e-09,9.62806973600238e-09,-8.0164607727955,-82
"DNAJC11",-0.115961881229253,1.51099937506094e-09,9.51542918857789e-09,-8.02157161830419,-81
"PRSS23",-0.104431435436136,1.48168051059187e-09,9.35337716318448e-09,-8.02903155292206,-80
"ULBP3",-0.120117507901998,1.36961545110231e-09,8.68377477553542e-09,-8.06129144903736,-79
"ADAMTS19",-0.116436690861334,1.35832719580491e-09,8.6163926496535e-09,-8.0646745184273,-78
"SLC23A2",-0.113859689606082,1.327965964247e-09,8.4361091601117e-09,-8.07385780928729,-77
"STAB1",-0.123704039273567,1.31660889932165e-09,8.38125366242214e-09,-8.07669101502722,-76
"LENG8",-0.216876888694647,1.27122793522737e-09,8.12315273455921e-09,-8.09027538092143,-75
"CIT",-0.100286903005553,1.22913075880528e-09,7.87343976244521e-09,-8.1038354908329,-74
"DDR1",-0.132230596545068,1.17492095726006e-09,7.54843306629836e-09,-8.12214319158761,-73
"DPY19L2P2",-0.171050008386697,1.14207937927991e-09,7.34829761448870e-09,-8.13381326258497,-72
"PBX2",-0.139393903668057,1.13028597577253e-09,7.27959984988906e-09,-8.1378924926322,-71
"IQGAP3",-0.107289585710029,1.08234026042686e-09,7.01933449850178e-09,-8.15370406127889,-70
"DOK3",-0.106757748047816,1.05469871048967e-09,6.86396236637037e-09,-8.16342510629608,-69
"BAALC",-0.15429334244863,1.00580101368514e-09,6.57197235495068e-09,-8.18230427209602,-68
"DNAH1",-0.146073377678799,9.64700728871026e-10,6.32242558087232e-09,-8.19911627388656,-67
"FGD1",-0.131480043553632,7.85371447514286e-10,5.20732812327469e-09,-8.28338505577201,-66
"PFAS",-0.102626177772153,7.16060219580279e-10,4.77446696511554e-09,-8.32107510722805,-65
"SZT2",-0.117607659807283,7.15395059275307e-10,4.77335515711239e-09,-8.32117625114898,-64
"SFRP2",-0.227860260433801,6.87787069465746e-10,4.60714892653942e-09,-8.33656774890883,-63
"PRRC2B",-0.189817392126371,6.68856131554964e-10,4.49187521510805e-09,-8.34757231700157,-62
"SLC47A1",-0.110893665513165,5.52491789741374e-10,3.76075048111013e-09,-8.42472548026327,-61
"KLHL29",-0.119831970183003,5.44629754278062e-10,3.71499019628373e-09,-8.43004232798833,-60
"SORCS2",-0.141529706653787,5.3811593295666e-10,3.67825366751612e-09,-8.43435832332969,-59
"BMP4",-0.12927403533916,4.97636020177297e-10,3.41408152296281e-09,-8.46672611281994,-58
"KIAA0895L",-0.105515557810799,4.77969058579364e-10,3.28953691925703e-09,-8.48286523504894,-57
"ATP8B2",-0.10248212149548,4.74253292021882e-10,3.26741227392994e-09,-8.48579606387277,-56
"RAI1",-0.123781862762235,4.63668274343453e-10,3.19786442833808e-09,-8.49513995186955,-55
"KIAA0513",-0.112121807308451,4.15652005350181e-10,2.89889489506795e-09,-8.53776753052962,-54
