ID,Accession,Target,TargetID,Experiment,Literature,Tissue
NR5A2,2494,CCNE1,898,Unknown,19041685,Not Applicable
NRIP1,8204,SLC7A1,6541,+,17056252,Not Applicable
NUPR1,26471,EP300,2033,Unknown,22858377,Not Applicable
ONECUT2,9480,SYTL4,94121,-,16831872,Not Applicable
PARP1,142,FN1,2335,Unknown,22223884,Not Applicable
PAX2,5076,WT1,7490,Unknown,9178767,Not Applicable
PAX5,5079,CCND1,595,-,22105368,Not Applicable
PAX5,5079,LEF1,51176,+,9545244,Not Applicable
PAX5,5079,MYCN,4613,+,9545244,Not Applicable
PAX6,5080,ITGA5,3678,Unknown,10954416,Not Applicable
PAX8,7849,WT1,7490,+,15961562;8861958,Not Applicable
PBX1,5087,SOX3,6658,Unknown,19799567,Not Applicable
PGR,5241,CCND1,595,Unknown,22542550;22892083,Not Applicable
PIAS2,9063,MYCN,4613,-,21123453,Not Applicable
PITX2,5308,LEF1,51176,+,17785445,Not Applicable
PITX2,5308,SLC13A3,64849,Unknown,21873665,Not Applicable
PITX2,5308,WNT5A,7474,Unknown,23250740,Not Applicable
PML,5371,CCND1,595,-,15529177,Not Applicable
PML,5371,EP300,2033,+,18809579,Not Applicable
POU2F1,5451,CCND1,595,+,12391146,Not Applicable
POU2F1,5451,VCAM1,7412,-,9694713,Not Applicable
POU4F2,5458,CCND1,595,+,17637757,Not Applicable
POU5F1,5460,BMP4,652,-,17068183,Not Applicable
POU5F1,5460,TBX18,9096,-,17068183,Not Applicable
PPARA,5465,SLC9A1,6548,Unknown,19958503,Not Applicable
PPARG,5468,CCND1,595,-,15041706;15193259;15486348,Not Applicable
PPARG,5468,CCNE1,898,-,14960510,Not Applicable
PPARG,5468,JAG1,182,Unknown,20436223,Not Applicable
PPARG,5468,SLC9A1,6548,-,19887620,Not Applicable
PRDM1,639,MKI67,4288,Unknown,20530581,Not Applicable
PROX1,5629,CCNE1,898,+,21040746,Not Applicable
RARA,5914,SCD,6319,+,11397803,Not Applicable
RB1,5925,DHFR,1719,-,9671466,Not Applicable
RB1,5925,DNMT3A,1788,-,22733537,Not Applicable
RB1,5925,E2F2,1870,-,9671466,Not Applicable
RB1,5925,E2F3,1871,-,20428827,Not Applicable
RBL2,5934,DNMT3B,1789,-,24316981,Not Applicable
REL,5966,CSRP1,1465,+,14522018,Not Applicable
REL,5966,EPHB2,2048,-,19621336,Not Applicable
RELA,5970,BMP2,650,+,16835229,Not Applicable
RELA,5970,CCND1,595,+,10409765;10464245;11861406;15756023;15856023;17407600;18341653;19263436;22306268,Not Applicable
RELA,5970,CCND1,595,-,18566231,Not Applicable
RELA,5970,CCND1,595,Unknown,12894581;16453001;17673602;17944672;18184402;19766095;20103608;20538607,Not Applicable
RELA,5970,COL2A1,1280,-,19022820,Not Applicable
RELA,5970,FN1,2335,+,10649441;10867646,Not Applicable
RELA,5970,FN1,2335,Unknown,22223884,Not Applicable
RELA,5970,IGF2BP2,10644,Unknown,17426251,Not Applicable
RELA,5970,MAT2A,4144,+,14530285,Not Applicable
RELA,5970,NFKBIZ,64332,Unknown,20220144,Not Applicable
RELA,5970,NOS3,4846,+,17081374,Not Applicable
RELA,5970,TNC,3371,+,9154819,Not Applicable
RELA,5970,TNC,3371,Unknown,20723226,Not Applicable
RELA,5970,TNFRSF10B,8795,+,18599488,Not Applicable
