ID,Accession,Target,TargetID,Experiment,Literature,Tissue
RUNX1,861,LGALS3,3958,+,19020999,Not Applicable
RUNX1,861,MYL9,10398,Unknown,20876458;22898599,Not Applicable
RUNX2,860,LGALS3,3958,+,19020999,Not Applicable
RUNX3,864,CD36,948,-,16887969,Not Applicable
RUNX3,864,TCF4,6925,+,24447505,Not Applicable
RUNX3,864,TXN2,25828,-,17956589,Not Applicable
SFPQ,6421,NEAT1,283131,Unknown,24507715,Not Applicable
SIRT1,23411,ADAMTS5,11096,-,21337390,Not Applicable
SIRT1,23411,NQO1,1728,-,20623181,Not Applicable
SKI,6497,FHL2,2274,+,14583455,Not Applicable
SLC2A4RG,56731,SLC2A4,6517,+,14630949,Not Applicable
SMAD2,4087,AHR,196,Unknown,11259615,Not Applicable
SMAD3,4088,AHR,196,Unknown,11259615,Not Applicable
SMAD4,4089,AHR,196,Unknown,11259615,Not Applicable
SMAD4,4089,FBXO32,114907,Unknown,20065949,Not Applicable
SMARCA4,6597,FOS,2353,-,10082538,Not Applicable
SMURF2,64750,KLF5,688,-,21953463,Not Applicable
SNAI1,6615,PEBP1,5037,-,18477483;19538137,Not Applicable
SNAI2,6591,MMP17,4326,Unknown,20019845,Not Applicable
SOX10,6663,PMP22,5376,Unknown,11734543,Not Applicable
SP1,6667,AGT,183,Unknown,12032593,Not Applicable
SP1,6667,AHR,196,-,16410262,Not Applicable
SP1,6667,APOA1,335,Unknown,10829013,Not Applicable
SP1,6667,BSG,682,+,11814679;20384626;20629990,Not Applicable
SP1,6667,CAV1,857,Unknown,10684646,Not Applicable
SP1,6667,CD14,929,+,17203216,Not Applicable
SP1,6667,CD14,929,Unknown,11698458,Not Applicable
SP1,6667,CETP,1071,-,10669650,Not Applicable
SP1,6667,CETP,1071,Unknown,12730302,Not Applicable
SP1,6667,F3,2152,Unknown,10707957;8576248,Not Applicable
SP1,6667,FGL2,10875,Unknown,11170750,Not Applicable
SP1,6667,FOS,2353,Unknown,9528985,Not Applicable
SP1,6667,IGF2,3481,+,11327698,Not Applicable
SP1,6667,IGF2,3481,Unknown,10606246;11336542;9610618,Not Applicable
SP1,6667,LPL,4023,Unknown,18793716;9788252,Not Applicable
SP1,6667,LSP1,4046,Unknown,9257843,Not Applicable
SP1,6667,LTC4S,4056,Unknown,10722737;10919991,Not Applicable
SP1,6667,MACROD1,28992,+,18206366,Not Applicable
SP1,6667,MGMT,4255,Unknown,22675172,Not Applicable
SP1,6667,MPG,4350,Unknown,10563836,Not Applicable
SP1,6667,NR4A1,3164,Unknown,8961265,Not Applicable
SP1,6667,PDGFB,5155,Unknown,22415074,Not Applicable
SP1,6667,PTGES,9536,Unknown,20688046,Not Applicable
SP1,6667,RORA,6095,+,14742449,Not Applicable
SP1,6667,SIGIRR,59307,+,21077278,Not Applicable
SP1,6667,SLC19A2,10560,Unknown,24525018,Not Applicable
SP1,6667,SLC29A1,2030,-,18064606,Not Applicable
SP1,6667,SOD1,6647,+,8921911;9867871,Not Applicable
SP1,6667,SOD1,6647,-,11724400,Not Applicable
SP1,6667,SPN,6693,+,8055899,Not Applicable
SP1,6667,TBXA2R,6915,Unknown,18698092,Not Applicable
SP1,6667,TNNI3,7137,Unknown,10652194,Not Applicable
SP1,6667,TYMP,1890,Unknown,17805539,Not Applicable
SP1,6667,UBC,7316,Unknown,19733223,Not Applicable
SP2,6668,CD14,929,Unknown,11698458,Not Applicable
SP3,6670,ACE,1636,Unknown,14679188,Not Applicable
SP3,6670,ALPL,249,+,11073119,Not Applicable
SP3,6670,BSG,682,+,11814679,Not Applicable
SP3,6670,CD14,929,Unknown,11698458,Not Applicable
SP3,6670,CETP,1071,-,10669650,Not Applicable
SP3,6670,CETP,1071,Unknown,12730302,Not Applicable
SP3,6670,LPL,4023,+,9788252,Not Applicable
SP3,6670,LPL,4023,Unknown,18793716,Not Applicable
SP3,6670,LTC4S,4056,Unknown,10919991,Not Applicable
SP3,6670,RORA,6095,+,14742449,Not Applicable
SP3,6670,SOX18,54345,-,18496767,Not Applicable
SP3,6670,TYMP,1890,Unknown,17805539,Not Applicable
SP3,6670,UBC,7316,Unknown,19733223,Not Applicable
SPI1,6688,MACROD1,28992,-,19698236,Not Applicable
SPI1,6688,PEBP1,5037,+,9334192,Not Applicable
SREBF1,6720,CAV1,857,-,19808659,Not Applicable
SREBF1,6720,CETP,1071,Unknown,10393213,Not Applicable
SRF,6722,ACTA1,58,Unknown,15623502,Not Applicable
