regulator,target
hsa-mir-25-3p,TEF
hsa-mir-25-3p,UQCRFS1
hsa-mir-25-3p,XPC
hsa-mir-25-3p,HMGA2
hsa-mir-25-3p,RECK
hsa-mir-25-3p,SETD1B
hsa-mir-25-3p,DDIT4
hsa-mir-25-3p,FBXW7
hsa-mir-25-3p,PARL
hsa-mir-25-3p,CNOT11
hsa-mir-25-3p,SLX4
hsa-mir-25-3p,ACSS1
hsa-mir-25-3p,PRRC2B
hsa-mir-25-3p,FAM129A
hsa-mir-25-3p,CHCHD10
hsa-mir-25-3p,MYZAP
hsa-mir-26a-5p,E2F2
hsa-mir-26a-5p,EP300
hsa-mir-26a-5p,FASN
hsa-mir-26a-5p,HMGA1
hsa-mir-26a-5p,ITGA5
hsa-mir-26a-5p,MYH10
hsa-mir-26a-5p,PPP2R5D
hsa-mir-26a-5p,RPL13
hsa-mir-26a-5p,RPL37
hsa-mir-26a-5p,RPS24
hsa-mir-26a-5p,RPS27A
hsa-mir-26a-5p,TTN
hsa-mir-26a-5p,HMGA2
hsa-mir-26a-5p,COX5A
hsa-mir-26a-5p,UQCR11
hsa-mir-26a-5p,RHOQ
hsa-mir-26a-5p,DDIT4
hsa-mir-26a-5p,VANGL2
hsa-mir-26a-5p,OCIAD2
hsa-mir-26a-5p,ANKRD52
hsa-mir-26b-5p,ACVR1B
hsa-mir-26b-5p,C1QB
hsa-mir-26b-5p,CAD
hsa-mir-26b-5p,CAV1
hsa-mir-26b-5p,CRIP2
hsa-mir-26b-5p,CST3
hsa-mir-26b-5p,DPYSL3
hsa-mir-26b-5p,GPR183
hsa-mir-26b-5p,EP300
hsa-mir-26b-5p,FGFR3
hsa-mir-26b-5p,GLI2
hsa-mir-26b-5p,GNB3
hsa-mir-26b-5p,MGST3
hsa-mir-26b-5p,NDUFB4
hsa-mir-26b-5p,NDUFS8
hsa-mir-26b-5p,CDK18
hsa-mir-26b-5p,PDGFB
hsa-mir-26b-5p,PDGFRL
hsa-mir-26b-5p,PFKFB3
hsa-mir-26b-5p,PLXNA2
hsa-mir-26b-5p,PMP22
hsa-mir-26b-5p,PPP2R5D
hsa-mir-26b-5p,SRGN
hsa-mir-26b-5p,PSME1
hsa-mir-26b-5p,RELB
hsa-mir-26b-5p,RPL28
hsa-mir-26b-5p,RPL37
hsa-mir-26b-5p,RPLP1
hsa-mir-26b-5p,SDHB
hsa-mir-26b-5p,SFRP4
hsa-mir-26b-5p,TYMS
hsa-mir-26b-5p,MAP3K12
hsa-mir-26b-5p,UXT
hsa-mir-26b-5p,PER3
hsa-mir-26b-5p,COX5A
hsa-mir-26b-5p,SDC3
hsa-mir-26b-5p,URB2
hsa-mir-26b-5p,PLXNC1
hsa-mir-26b-5p,FARP1
hsa-mir-26b-5p,TRIB1
hsa-mir-26b-5p,IGSF6
hsa-mir-26b-5p,CDK2AP2
hsa-mir-26b-5p,SLC19A2
hsa-mir-26b-5p,UQCR11
hsa-mir-26b-5p,ATXN2L
hsa-mir-26b-5p,NTNG1
hsa-mir-26b-5p,TBC1D2B
hsa-mir-26b-5p,SMG6
hsa-mir-26b-5p,COMMD3
hsa-mir-26b-5p,RHOQ
hsa-mir-26b-5p,TSPAN12
hsa-mir-26b-5p,MPC2
hsa-mir-26b-5p,RAI14
hsa-mir-26b-5p,MRPS28
hsa-mir-26b-5p,RGCC
hsa-mir-26b-5p,TFPT
hsa-mir-26b-5p,CRYL1
hsa-mir-26b-5p,MPC1
hsa-mir-26b-5p,STK26
hsa-mir-26b-5p,DDIT4
hsa-mir-26b-5p,BORCS6
hsa-mir-26b-5p,TMEM132A
hsa-mir-26b-5p,DCUN1D2
hsa-mir-26b-5p,DPPA4
hsa-mir-26b-5p,DNAJC11
hsa-mir-26b-5p,VANGL2
hsa-mir-26b-5p,JAM2
hsa-mir-26b-5p,SUGCT
hsa-mir-26b-5p,PLXNA4
hsa-mir-26b-5p,OCIAD2
hsa-mir-26b-5p,ANKRD52
hsa-mir-27a-3p,CDH6
hsa-mir-27a-3p,FHL2
hsa-mir-27a-3p,PLAGL2
hsa-mir-27a-3p,RPS24
hsa-mir-27a-3p,TMSB10
hsa-mir-27a-3p,NUP93
hsa-mir-27a-3p,SETD1B
hsa-mir-27a-3p,FBXW7
hsa-mir-27a-3p,LENG1
hsa-mir-27a-3p,FOXP4
hsa-mir-27a-3p,ZNF384
hsa-mir-27a-3p,RNF152
hsa-mir-28-5p,FKBP5
hsa-mir-28-5p,SLC7A5
hsa-mir-28-5p,PRRC2B
hsa-mir-29a-3p,FOS
hsa-mir-29a-3p,GLUL
hsa-mir-29a-3p,LPL
hsa-mir-29a-3p,MYCN
hsa-mir-29a-3p,NFIA
hsa-mir-29a-3p,SFRP2
hsa-mir-29a-3p,DYNLT1
hsa-mir-30a-5p,CCNF
hsa-mir-30a-5p,MGST2
hsa-mir-30a-5p,NOTCH1
hsa-mir-30a-5p,PLAGL2
hsa-mir-30a-5p,PPP1R10
hsa-mir-30a-5p,PTMS
hsa-mir-30a-5p,PTPRK
hsa-mir-30a-5p,SCD
hsa-mir-30a-5p,SLC7A5
hsa-mir-30a-5p,TNFRSF10B
hsa-mir-30a-5p,VASH1
hsa-mir-30a-5p,MAST3
hsa-mir-30a-5p,HIC2
hsa-mir-30a-5p,NFU1
hsa-mir-30a-5p,EML4
hsa-mir-30a-5p,RHOF
hsa-mir-30a-5p,CAVIN3
hsa-mir-30a-3p,EP300
hsa-mir-30a-3p,ITGA5
hsa-mir-30a-3p,NOTCH1
hsa-mir-30a-3p,HMGA2
hsa-mir-30a-3p,GSTO1
hsa-mir-30a-3p,COX17
hsa-mir-30a-3p,KIAA1671
hsa-mir-30a-3p,ATP8B3
hsa-mir-31-5p,E2F2
hsa-mir-31-5p,FOXC1
hsa-mir-31-5p,GLI2
hsa-mir-31-5p,ITGA5
hsa-mir-31-5p,PLAGL2
hsa-mir-31-5p,RPL35A
hsa-mir-31-5p,RPL37A
hsa-mir-31-5p,TBXA2R
hsa-mir-31-5p,HIST1H2BJ
hsa-mir-31-5p,MED12
hsa-mir-31-5p,AKNA
hsa-mir-31-5p,PRRC2B
hsa-mir-31-5p,PPM1L
hsa-mir-31-5p,ANKRD52
hsa-mir-32-5p,BCAT1
hsa-mir-32-5p,CAD
hsa-mir-32-5p,E2F3
hsa-mir-32-5p,NR3C1
hsa-mir-32-5p,INCENP
hsa-mir-32-5p,ITGB8
hsa-mir-32-5p,RPLP1
hsa-mir-32-5p,TEF
hsa-mir-32-5p,UQCRFS1
hsa-mir-32-5p,HMGA2
hsa-mir-32-5p,MAST3
hsa-mir-32-5p,DDIT4
hsa-mir-32-5p,FBXW7
hsa-mir-32-5p,SLX4
hsa-mir-32-5p,PRRC2B
hsa-mir-32-5p,FAM129A
hsa-mir-32-5p,MYZAP
hsa-mir-33a-5p,CDH6
hsa-mir-33a-5p,PRKCB
hsa-mir-33a-5p,HMGA2
hsa-mir-33a-5p,SLC7A5
hsa-mir-92a-3p,ACLY
hsa-mir-92a-3p,ARL2
hsa-mir-92a-3p,ASAH1
hsa-mir-92a-3p,BCAT1
hsa-mir-92a-3p,CAD
hsa-mir-92a-3p,CDKN3
hsa-mir-92a-3p,E2F3
hsa-mir-92a-3p,TYMP
hsa-mir-92a-3p,EP300
hsa-mir-92a-3p,EPHB2
hsa-mir-92a-3p,FASN
hsa-mir-92a-3p,FAU
hsa-mir-92a-3p,GPX3
hsa-mir-92a-3p,NDST1
hsa-mir-92a-3p,INCENP
hsa-mir-92a-3p,ITGA5
hsa-mir-92a-3p,ITGB8
hsa-mir-92a-3p,ITPR3
hsa-mir-92a-3p,MKI67
hsa-mir-92a-3p,PEBP1
hsa-mir-92a-3p,PBX2
hsa-mir-92a-3p,PSMB6
hsa-mir-92a-3p,PTK7
hsa-mir-92a-3p,RORA
hsa-mir-92a-3p,RPL8
hsa-mir-92a-3p,RPL18A
hsa-mir-92a-3p,RPL27
hsa-mir-92a-3p,RPLP1
hsa-mir-92a-3p,RPS5
hsa-mir-92a-3p,RPS15A
hsa-mir-92a-3p,RPS24
hsa-mir-92a-3p,SCD
hsa-mir-92a-3p,TEF
hsa-mir-92a-3p,UCHL1
hsa-mir-92a-3p,UQCRFS1
hsa-mir-92a-3p,HMGA2
hsa-mir-92a-3p,TNFRSF10B
hsa-mir-92a-3p,SUCLG1
hsa-mir-92a-3p,LIMD1
hsa-mir-92a-3p,URB2
hsa-mir-92a-3p,RBX1
hsa-mir-92a-3p,KLF2
hsa-mir-92a-3p,EBP
hsa-mir-92a-3p,ATXN2L
hsa-mir-92a-3p,MAST3
hsa-mir-92a-3p,SETD1B
hsa-mir-92a-3p,NUP210
hsa-mir-92a-3p,KHNYN
hsa-mir-92a-3p,NCAPH
hsa-mir-92a-3p,HSPBP1
hsa-mir-92a-3p,KLHL3
hsa-mir-92a-3p,CHCHD2
hsa-mir-92a-3p,LSM7
hsa-mir-92a-3p,DDIT4
hsa-mir-92a-3p,FBXW7
hsa-mir-92a-3p,CISD1
hsa-mir-92a-3p,RCC2
hsa-mir-92a-3p,VANGL2
hsa-mir-92a-3p,PRR12
hsa-mir-92a-3p,NADK
hsa-mir-92a-3p,CHCHD5
hsa-mir-92a-3p,SLX4
hsa-mir-92a-3p,PRRC2B
hsa-mir-92a-3p,KIAA1671
hsa-mir-92a-3p,C12orf57
hsa-mir-92a-3p,FAM129A
hsa-mir-92a-3p,OCIAD2
hsa-mir-92a-3p,KIF18B
hsa-mir-92a-3p,CHCHD10
hsa-mir-92a-3p,MYZAP
hsa-mir-93-5p,ACVR1B
hsa-mir-93-5p,B2M
hsa-mir-93-5p,CAV1
hsa-mir-93-5p,CYB5A
hsa-mir-93-5p,E2F2
hsa-mir-93-5p,E2F3
hsa-mir-93-5p,GPR183
hsa-mir-93-5p,F2R
hsa-mir-93-5p,FASN
hsa-mir-93-5p,FOXC1
hsa-mir-93-5p,NR3C1
hsa-mir-93-5p,HIP1
hsa-mir-93-5p,ITGB8
hsa-mir-93-5p,KCNJ8
hsa-mir-93-5p,KRT10
hsa-mir-93-5p,MLLT6
hsa-mir-93-5p,NBL1
hsa-mir-93-5p,PDGFB
hsa-mir-93-5p,PLAGL2
hsa-mir-93-5p,POLR2A
hsa-mir-93-5p,PRKCB
hsa-mir-93-5p,RORA
hsa-mir-93-5p,RPL27
hsa-mir-93-5p,RPL30
hsa-mir-93-5p,RPS27A
hsa-mir-93-5p,SCD
hsa-mir-93-5p,TAF4
hsa-mir-93-5p,TNFRSF10B
hsa-mir-93-5p,HIST1H2BJ
hsa-mir-93-5p,SERF2
hsa-mir-93-5p,SMG6
hsa-mir-93-5p,TMEM100
hsa-mir-93-5p,FEM1A
hsa-mir-93-5p,SORCS2
hsa-mir-93-5p,TMEM134
hsa-mir-93-5p,EGLN3
hsa-mir-93-5p,FAM129A
hsa-mir-93-5p,ARL9
hsa-mir-93-5p,ZNF384
hsa-mir-93-5p,LDHD
hsa-mir-93-5p,ANKRD52
hsa-mir-95-3p,CEBPD
hsa-mir-96-5p,CPE
hsa-mir-96-5p,DDIT3
hsa-mir-96-5p,ITPR3
hsa-mir-96-5p,MGST1
hsa-mir-96-5p,PFKFB3
