"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MEG3",10157.2744752487,-0.113248701386481,0.0200965764876716,-5.63522356436947,1.74831379992097e-08,9.13156130499372e-08
"RPL13",20160.8603141897,0.134939798362421,0.0259309738573067,5.20380758181198,1.95246170239288e-07,8.37081049395397e-07
"RPL23",19871.3519283176,0.161846785678193,0.0241311759830283,6.7069580774688,1.987233227802e-11,1.73593407615497e-10
"CDH2",11351.2974594117,-0.00903976590635524,0.0100402198712271,-0.900355372919782,0.367931161953434,0.43830455007277
"POPDC2",16432.585611857,0.0698334666410547,0.00992993531025411,7.032620501459,2.02690119374236e-12,2.07657858356543e-11
"PSAP",12939.1450845855,-0.0087786017799649,0.00920334646898448,-0.953848886331621,0.340160139650217,0.409977686102775
"WSB1",10428.3127126535,-0.068223981904395,0.0122476807121627,-5.57035927925883,2.54214568708205e-08,1.29106947238801e-07
"MTATP6P1",17947.112835221,0.0835002816741919,0.0190416036630464,4.38514965187721,1.15906066448196e-05,3.55528637369409e-05
"HK1",9935.42321056573,-0.086120648139564,0.0107647833704515,-8.00022120054531,1.24195896111721e-15,2.20076477865361e-14
"HNRNPK",10319.3229565465,-0.0415715960487354,0.00997025949216415,-4.16956008832142,3.05188146841212e-05,8.63397789827133e-05
"YBX1",13421.6581821791,0.0636717078350334,0.00994243711904972,6.40403424961454,1.51324142387047e-10,1.13293310276226e-09
"HNRNPDL",10932.6436917328,-0.0233889623123698,0.00787332314518856,-2.97065951454856,0.00297161037095402,0.0058508065304925
"HDLBP",10424.4651093261,-0.0630363119069329,0.00954297913368898,-6.60551710570128,3.96132161941513e-11,3.27293613654388e-10
"RNF207",10554.268414578,-0.0571393377909736,0.0171028959995206,-3.340915935674,0.000835025017184543,0.00182510411833766
"NCAM1",10349.6356450505,-0.0640142573167952,0.0101651246478618,-6.29743948395754,3.02602435931383e-10,2.16012094658845e-09
"LAMB2",13840.5751491392,0.033310184148406,0.0104708345653347,3.18123488061635,0.00146648679749902,0.00306652570354052
"RPL28",17130.7797146647,0.116278382439442,0.0302605791934569,3.84256962485981,0.000121752859244329,0.000308749910609478
"CANX",11782.7721989444,-0.0095102453277764,0.0127625374217283,-0.745168849541249,0.456169651677915,0.526399274215481
"KTN1",13914.0673441583,0.046145496691647,0.0176438864739944,2.61538163712749,0.00891278066367731,0.0159189927986414
"TRIM28",10758.7169909759,-0.0145734568548515,0.0132465838471605,-1.10016718446058,0.271259285593309,0.336417231143774
"TLN1",8883.53652909949,-0.0838937756582333,0.0146920264921199,-5.71015684617979,1.12872102641319e-08,6.08548144955798e-08
"TUBB4B",11651.4253490431,0.0237643429278357,0.0123396457982812,1.92585292287286,0.0541227410992338,0.0807260738124665
"PGK1",12795.9206470374,0.00230534148841729,0.00907814195060564,0.253944199260234,0.799538667662848,0.838364954466865
"PRKAR1A",12380.7906575931,0.0415792488472389,0.010281109750457,4.04423742732545,5.24937019803845e-05,0.000142037938014144
"NEXN",17223.0925716241,0.105770268323744,0.0349326486996794,3.0278341969733,0.00246313190445754,0.00491947416507431
"EIF4A2",11999.7988584113,0.0151036766486901,0.0119297742042142,1.26604882792792,0.205495601470948,0.264803244183786
"RPL18",17321.7249039881,0.115992600937076,0.0306916745822336,3.77928550709385,0.000157279007244253,0.000392430230051569
"B4GALNT3",10403.8717654301,-0.0156115141474088,0.0135611455466079,-1.15119435107853,0.249652288654468,0.313254295615891
"MAGED2",11410.6041757775,0.0143058398791605,0.0088670344318599,1.61337366952795,0.106663350057139,0.149100044099164
"ENO3",12915.3578952323,0.0438551723245301,0.0185424964904478,2.3651169273308,0.0180243792221564,0.030060607904778
"MYH10",7770.48783157725,-0.138594790653791,0.0130066601016021,-10.6556786731683,1.64043737486992e-26,1.10281362077596e-24
"HSPA5",11238.385577663,-0.00618122648353674,0.0113714355068933,-0.54357486174808,0.586734062367895,0.650253708480802
"LAMC1",14160.3049781403,0.0187759804949444,0.0170762371924916,1.09953851561632,0.271533243684621,0.336660952955112
"TECRL",9629.7939713565,-0.0395786180195288,0.0110691310598963,-3.57558491315755,0.000349445728234107,0.000816751108894126
