ID,Accession,Target,TargetID,Experiment,Literature,Tissue
NR0B2,8431,PCK2,5106,Unknown,15358835,Not Applicable
NR1H4,9971,ABCC4,10257,-,22291955,Not Applicable
NR1H4,9971,NFKB1,4790,+,21364590,Not Applicable
NR1I2,8856,BCL2L1,598,+,16085054,Not Applicable
NR1I2,8856,KLF6,1316,+,21072196,Not Applicable
NR1I2,8856,NFKB1,4790,-,22248096,Not Applicable
NR2F2,7026,PPARA,5465,Unknown,11981036,Not Applicable
NR3C1,2908,MAOA,4128,Unknown,16728402,Not Applicable
NR3C1,2908,NFKB1,4790,-,17016446,Not Applicable
NR4A1,3164,MDM2,4193,-,17139261,Not Applicable
NR5A1,2516,STARD7,56910,+,21622533,Not Applicable
NRF1,4899,CAPNS1,826,+,18234454,Not Applicable
