"","logFC","pvalue","padj","piValue","rank"
"UQCRQ",0.240517182073476,3.4602471573135e-17,7.83481656695879e-16,15.105971167018,243
"C1orf54",0.202777618391495,3.52630945335866e-17,7.95676953126361e-16,15.0992632211459,244
"F3",0.237866684691375,3.65894626478069e-17,8.22723151093607e-16,15.0847462816524,245
"PCOLCE2",0.224941770330846,4.078449680206e-17,9.123694807761e-16,15.0398292505241,246
"MRPS36",0.171918497649912,4.28339292314984e-17,9.54940350490943e-16,15.0200237553919,247
"C11orf96",0.21362947476467,4.46640012225453e-17,9.90659700585775e-16,15.0040755034748,248
"LYPLAL1",0.111744899793717,4.662965712514e-17,1.03075252241708e-15,14.9868455937369,249
"FAM174A",0.105618464616073,4.9657508977854e-17,1.09582611182601e-15,14.9602583552183,250
"TMEM126A",0.146227877168003,5.49248977649116e-17,1.20797726247888e-15,14.9179412402785,251
"TAOK3",0.115313332711466,5.74419721775384e-17,1.26120909282737e-15,14.8992129068184,252
"NUCB2",0.189163127580077,6.07263705525917e-17,1.32440355308846e-15,14.8779796628002,253
"PDGFB",0.138386746452665,6.52159031528256e-17,1.41521765211173e-15,14.8491767630782,254
"COX7C",0.208535219111176,6.90343044630886e-17,1.49311011410879e-15,14.8259081626793,255
"AC009549.1",0.157704070520412,7.22040056725333e-17,1.55650354046476e-15,14.8078498871224,256
"AC025183.1",0.254709313504332,7.47030682136092e-17,1.60771850765989e-15,14.7937899887167,257
"N4BP2L1",0.150424319665572,7.90661668767898e-17,1.69046057115917e-15,14.7719949544029,258
"FAU",0.237626450263447,7.98672043157696e-17,1.70200666452005e-15,14.7690387436882,259
"COX6C",0.216886137874797,8.19202322304335e-17,1.74290973694831e-15,14.7587251038598,260
"FAM43A",0.151280595474938,9.43415692336354e-17,1.98452055797592e-15,14.7023443978053,261
"TNNI3",0.350677287595501,9.64518441106322e-17,2.02564404330252e-15,14.6934368687543,262
"RPL30",0.163503551432067,1.01461568761359e-16,2.12743051412483e-15,14.672144615885,263
"TCF4",0.14796100164255,1.08727946930412e-16,2.26522345665564e-15,14.6448889498517,264
"LRRC10",0.10389356434293,1.23284625657161e-16,2.55218744098522e-15,14.5930874327737,265
"NDUFB7",0.244619383125767,1.24851381031253e-16,2.58052569161586e-15,14.5882918127531,266
"GUK1",0.141414748740567,1.29059907007632e-16,2.65908263379706e-15,14.5752681662997,267
"RASD1",0.306822511348789,1.45803971803871e-16,2.98052570574621e-15,14.5257071282161,268
"UBE2QL1",0.136271859570442,1.4576978241609e-16,2.98052570574621e-15,14.5257071282161,269
"KLHL7",0.132216764749902,1.49760083935213e-16,3.05182971044227e-15,14.5154397033117,270
"PMP22",0.112246936642939,1.52425979313358e-16,3.10130986303404e-15,14.5084548396695,271
"GTF3A",0.115562518409396,1.61531097347814e-16,3.28144637322459e-15,14.483934688772,272
"LUZP2",0.232395470425174,1.70774472430606e-16,3.46382685760492e-15,14.4604438246992,273
"ISLR2",0.20033238235199,1.80588934699431e-16,3.65153625790694e-15,14.4375243826767,274
"MT-TC",0.346725232395847,1.87410353336984e-16,3.78360035328319e-15,14.4220947426534,275
"CREBRF",0.165985899128555,1.90631377431703e-16,3.84268071787367e-15,14.4153656988628,276
"TMEM14C",0.111168622386619,2.09730970842748e-16,4.18883816497874e-15,14.3779064182051,277
"JAZF1",0.100195745553015,3.45866746629567e-16,6.74259209199224e-15,14.171173113133,278
"VPS37D",0.156118599359839,3.73463229089856e-16,7.25887844081954e-15,14.139130476351,279
"TMEM126B",0.106321969064306,3.95280131591704e-16,7.60360394722568e-15,14.1189805125344,280
"B3GALT2",0.208629699851055,4.29435604759996e-16,8.22422783741537e-15,14.084904866836,281
"FGL2",0.185125958631439,4.82221424616403e-16,9.19463716351919e-15,14.0364654041084,282
"MEOX2",0.19590926017874,5.07727249619793e-16,9.66683034969539e-15,14.014715903093,283
"HEBP2",0.102755352074992,5.4362729394715e-16,1.0260473469839e-14,13.9888325982306,284
"GIMAP7",0.260190285173831,5.87009813526676e-16,1.101551365182e-14,13.9579952469517,285
"ATRAID",0.138817038781919,5.90586261187242e-16,1.10667040494311e-14,13.9559817039884,286
"CAVIN3",0.204587001317667,6.03283185761095e-16,1.12884064687177e-14,13.9473673610589,287
"ZNF32",0.107666408451135,6.14145119496179e-16,1.14587705986683e-14,13.9408619749389,288
"CTSH",0.155724944813667,6.31281446778534e-16,1.17616751841224e-14,13.9295308184462,289
"UQCRB",0.197654562599608,6.60543643688687e-16,1.22893155506246e-14,13.9104723043279,290
"HACD1",0.104191613971919,6.91982051031581e-16,1.28011771766722e-14,13.8927500914595,291
"TKTL1",0.231931674486817,6.96869324756344e-16,1.28733282343799e-14,13.8903091572945,292
"ATP5MPL",0.183265070174902,7.01141905474858e-16,1.29228347430094e-14,13.8886422093898,293
"DMAC1",0.167333869243868,7.34349503728646e-16,1.34513851511643e-14,13.8712329920531,294
"IRF1",0.148233798424197,7.86258656461664e-16,1.43820272055723e-14,13.8421798940545,295
"SGCE",0.102615754521261,8.08451140450305e-16,1.47672545850881e-14,13.8307002378887,296
"HERC5",0.134242585300314,8.45255140405391e-16,1.53963932139206e-14,13.8125810058357,297
